Out.SubInd,Observations,Studies
Crop Yield,6907,155
Biomass Yield,1607,48
Gross Return,714,16
Soil Moisture,2815,15
Cation Exchange Capacity,171,11
Soil Organic Carbon,423,10
Crop Residue Yield,121,9
Gross Margin,188,9
Variable Cost,791,8
Net Return,167,8
Nitrous Oxide Emissions,544,7
Soil Total Nitrogen,397,7
Total Cost,846,7
Water Use Efficiency,184,7
Biodiversity,1361,6
Nitrogen Agronomic Efficiency,59,5
Soil Carbon Stocks,77,5
Soil Organic Matter,57,4
Soil NH4,227,3
Soil NO3,209,3
Soil Nitrogen,102,3
Labour Cost,3,3
Erosion,60,3
Aboveground Carbon Biomass,26,3
Land Equivalent Ratio,27,3
Labour Person Hours,14,2
Fixed Cost,56,2
Belowground Carbon Biomass,2,2
Carbon Dioxide Emissions,3076,2
Phosphorus Agronomic Efficiency,36,1
Nitrogen Agronomic Efficiency (AGB),4,1
Benefit Cost Ratio (NRTC),8,1
Total Cost (Unconfirmed),19,1
Methane Emissions,100,1
Water Use,8,1
Runoff,54,1
Infiltration Rate,8,1
Soil Available Nitrogen,16,1
Nitrogen Use Efficiency (Isotopic Product),2,1
Nitrogen Use Efficiency (Isotopic AGB),2,1
Benefit Cost Ratio (Unspecified),6,1
