practice,model_type,est,se,ci.lb,ci.ub,pval,tau2_L2,tau2_L3,k,studies,outcome,practice_type,V1,est_pct,ci.lb_pct,ci.ub_pct
Inorganic Fertilizer,rma.mv,0.416763914780112,0.0512888173097909,0.316065817330768,0.517462012229456,2.00801673599019e-15,0.0289687570203967,0.109345901402619,702,48,Crop Yield,Solo,,51.704431891298,37.172053563923,67.7764096805382
Intercropping,rma.mv,-0.199691896223767,0.0887072263989531,-0.375471187168249,-0.0239126052792843,0.0263463321697109,0.0680840148748013,0.0748290863814309,112,13,Crop Yield,Solo,,-18.1016954021075,-31.303448681498,-2.36289642966834
Crop Rotation,rma.mv,0.137264525679969,0.0549929119583618,0.0270562673519347,0.247472784008003,0.0155859809402716,3.4554868437016e-07,0.0164328683447818,56,9,Crop Yield,Solo,,14.7131554143713,2.74256116555753,28.078450408856
Reduced Tillage,rma.mv,-0.0869482605667021,0.103977206032416,-0.292443159885672,0.118546638752268,0.404395285400644,0.0656961017277544,0.104624429981153,147,13,Crop Yield,Solo,,-8.32754747864233,-25.3562328567307,12.5859381554319
Inorganic Fertilizer-Intercropping,rma.mv,0.431371483304308,0.259659710456879,-0.108620445479799,0.971363412088414,0.111511830913104,0.0407724853331125,0.241551634381989,22,4,Crop Yield,Solo,,53.936729300234,-10.2929159818004,164.154351766088
pH Control,rma.mv,0.304983564544172,0.122269512515875,0.0638035053070456,0.546163623781299,0.0134719098905692,0.375546235712055,0.070702137989867,191,11,Crop Yield,Solo,,35.660270643914,6.58829378426029,72.6616345733985
Organic Fertilizer,rma.mv,0.363796155725658,0.102623548703128,0.159488364598983,0.568103946852334,0.00066737762298766,0.0436908445431895,0.0691188520474306,79,9,Crop Yield,Solo,,43.8780897015663,17.2910614855971,76.491749959258
Crop Rotation-Mulch,rma.mv,0.554674156120556,0.308768633201105,-0.157347588862531,1.26669590110364,0.110156169069282,2.65826421078033e-07,0.335058639229841,9,4,Crop Yield,Solo,,74.1373476430415,-14.5592975168076,254.9106568982
Crop Rotation-Mulch-Reduced Tillage,rma.mv,0.169638702239047,0.0799043510055131,0.000249045111624602,0.339028359366469,0.0497022380660886,0.0320776419409908,2.19982488349445e-06,17,6,Crop Yield,Solo,,18.487668068474,0.0249076125933057,40.3583149377216
Mulch,rma.mv,0.181140072541404,0.129265756172895,-0.0746535309416548,0.436933676024462,0.163563436617175,3.60394513848796e-07,0.0887643349741539,128,7,Crop Yield,Solo,,19.8583056110212,-7.19350235693825,54.7953407227728
Supplemental Irrigation,rma.mv,0.61117100652942,0.257804391584794,0.0919263077701212,1.13041570528872,0.0220992449090435,4.84492192542925e-10,0.185458001943659,46,3,Crop Yield,Solo,,84.2587818310817,9.62840314891731,209.694364842251
Mulch-Reduced Tillage,rma.mv,0.0723489587317756,0.0688812465310326,-0.0764599272919537,0.221157844755505,0.312694484165685,2.49142390655239e-08,0.000121661780043259,14,5,Crop Yield,Solo,,7.50304198689564,-7.36099634975068,24.7520329565326
Crop Residue Incorporation-Crop Rotation,rma.mv,0.478405229750457,0.27760868429463,-0.235210611512215,1.19202107101313,0.145440588477693,0.0420410282322381,0.150567494352872,6,3,Crop Yield,Solo,,61.3499188797875,-20.9595636160891,229.37313498706
Crop Rotation-Reduced Tillage,rma.mv,0.113097458258162,0.0596670340558971,-0.0182287982455498,0.244423714761874,0.0845954226660227,1.51294208997291e-10,0.000121124050201066,12,4,Crop Yield,Solo,,11.9741055643921,-1.8063658657315,27.688525101343
Crop Residue Incorporation,rma.mv,0.0322569727915552,0.0776307290334664,-0.134244381412778,0.198758326995888,0.684061077968917,9.94754249768962e-08,0.00781403893686006,15,5,Crop Yield,Solo,,3.27828683048614,-12.5623642838128,21.9887116488617
Multistrata Agroforestry,rma.mv,-0.296688041153768,0.0573046975606937,-0.411395856184663,-0.181980226122872,2.94524798023292e-06,0.176015961538203,2.01563834273808e-05,59,5,Crop Yield,Solo,,-25.6724152325606,-33.7275463937623,-16.6382175890813
Inorganic Fertilizer,rma.mv,0.68679333015382,0.159441199590483,0.366994782586533,1.00659187772111,7.17810311617973e-05,0.0354122674680403,0.249560739952749,54,11,Crop Yield,Combo,,98.7332585233738,44.3390388331082,173.625959841565
Intercropping,rma.mv,0.157898183815757,0.168737924200358,-0.180699232673633,0.496495600305147,0.353722394604619,0.0736369351901722,0.203945786439655,53,9,Crop Yield,Combo,,17.1046957104872,-16.5313632666643,64.2953604388856
Mulch,rma.mv,0.266240556777991,0.109104938381016,0.0497794664997887,0.482701647056194,0.0164377385586722,0.0384283379625495,0.150997804783224,101,15,Crop Yield,Combo,,30.5048959302725,5.1039281443888,62.0446367939152
Crop Rotation,rma.mv,0.160973002532721,0.128243672742727,-0.0939251834721213,0.415871188537562,0.21276290738576,0.0417116877645966,0.188125564031337,88,13,Crop Yield,Combo,,17.4653255722951,-8.96491310158512,51.5690617970458
Reduced Tillage,rma.mv,0.199017479591412,0.0619210385652437,0.0761527052104197,0.321882253972405,0.00176720004865742,2.84824641974036e-06,0.0313397985706893,100,13,Crop Yield,Combo,,22.0203294368491,7.91273499449461,37.9722309571412
pH Control,rma.mv,0.580956101505556,0.391835307186587,-0.28146759481207,1.44337979782318,0.16623992211661,6.21695233192639e-07,0.582777153146486,12,4,Crop Yield,Combo,,78.7746881378658,-24.5324629323742,323.498504928705
Organic Fertilizer,rma.mv,0.902194446015487,0.196212324975014,0.478303489127776,1.3260854029032,0.000499463516376418,0.0980373887114562,0.113371047014884,14,4,Crop Yield,Combo,,146.500650396244,61.3335038736219,276.627105882288
Crop Residue Incorporation,rma.mv,0.326650197762531,0.192319464329946,-0.081048853813915,0.734349249338978,0.108776349255506,1.77508289948602e-05,0.150172850266513,17,5,Crop Yield,Combo,,38.6316455756395,-7.78513601339076,108.412530520031
Crop Residue,rma.mv,0.345449892268518,0.133991880956447,0.078745724649627,0.612154059887408,0.0117914985698085,0.0158990472405663,0.12561813559905,80,9,Crop Yield,Combo,,41.2625305932709,8.19291791696564,84.4400071077635
Inorganic Fertilizer,rma.mv,0.371853196204948,0.08199871175183,0.20842999935688,0.535276393053016,2.21220778333869e-05,0.162277100871971,0.0211480592485785,74,9,Biomass Yield,Solo,,45.0420038497065,23.1742704261589,70.7920234311412
Inorganic Fertilizer,rma.mv,0.698735883197199,0.343114804969837,-0.0169890581856376,1.41446082458004,0.0551638086217024,0.0386741514991065,0.342688492041472,21,3,Biomass Yield,Combo,,101.120869713816,-1.68455579305487,311.426755589883
,,,,,,,,,,,,,TRUE,,,
